,sampleId,wasDerivedFrom,used,originalId,permissions,popId
18,LAZARIDISADR20109,LAZARIDIS,,ADR20109,Private_Demo,2
19,LAZARIDISADR20112,LAZARIDIS,,ADR20112,Private_Demo,2
20,LAZARIDISADR20106,LAZARIDIS,,ADR20106,Private_Demo,2
21,LAZARIDISADR20107,LAZARIDIS,,ADR20107,Private_Demo,2
2132,LAZARIDISBOT2.031,LAZARIDIS,,BOT2.031,Private_Demo,324
2133,LAZARIDISBOT2.022,LAZARIDIS,,BOT2.022,Private_Demo,324
2134,LAZARIDISBOT2.009,LAZARIDIS,,BOT2.009,Private_Demo,324
2135,LAZARIDISBOT2.024,LAZARIDIS,,BOT2.024,Private_Demo,324
2136,LAZARIDISBOT2.028,LAZARIDIS,,BOT2.028,Private_Demo,324
2137,LAZARIDISBOT2.030,LAZARIDIS,,BOT2.030,Private_Demo,324
2138,LAZARIDISBOT2.048,LAZARIDIS,,BOT2.048,Private_Demo,324
2139,LAZARIDISBOT2.056,LAZARIDIS,,BOT2.056,Private_Demo,324
2140,LAZARIDISNAM188,LAZARIDIS,,NAM188,Private_Demo,355
2141,LAZARIDISNAM190,LAZARIDIS,,NAM190,Private_Demo,355
2142,LAZARIDISNAM191,LAZARIDIS,,NAM191,Private_Demo,355
2143,LAZARIDISNAM107,LAZARIDIS,,NAM107,Private_Demo,355
2144,LAZARIDISNAM109,LAZARIDIS,,NAM109,Private_Demo,355
2145,LAZARIDISNAM118,LAZARIDIS,,NAM118,Private_Demo,355
2146,LAZARIDISNAM119,LAZARIDIS,,NAM119,Private_Demo,355
2147,LAZARIDISNAM120,LAZARIDIS,,NAM120,Private_Demo,355
2148,LAZARIDISNAM129,LAZARIDIS,,NAM129,Private_Demo,355
2149,LAZARIDISNAM159,LAZARIDIS,,NAM159,Private_Demo,355
2150,LAZARIDISNAM201,LAZARIDIS,,NAM201,Private_Demo,355
2151,LAZARIDISBOT5.026,LAZARIDIS,,BOT5.026,Private_Demo,314
2152,LAZARIDISBOT5.034,LAZARIDIS,,BOT5.034,Private_Demo,314
2153,LAZARIDISBOT6.264,LAZARIDIS,,BOT6.264,Private_Demo,314
2154,LAZARIDISBOT5.018,LAZARIDIS,,BOT5.018,Private_Demo,314
2155,LAZARIDISBOT5.036,LAZARIDIS,,BOT5.036,Private_Demo,314
2156,LAZARIDISBOT6.258,LAZARIDIS,,BOT6.258,Private_Demo,314
2157,LAZARIDISBOT6.259,LAZARIDIS,,BOT6.259,Private_Demo,314
2158,LAZARIDISBOT5.030,LAZARIDIS,,BOT5.030,Private_Demo,315
2159,LAZARIDISBOT5.037,LAZARIDIS,,BOT5.037,Private_Demo,315
2160,LAZARIDISBOT5.015,LAZARIDIS,,BOT5.015,Private_Demo,315
2161,LAZARIDISBOT5.002,LAZARIDIS,,BOT5.002,Private_Demo,315
2162,LAZARIDISNAM321,LAZARIDIS,,NAM321,Private_Demo,353
2163,LAZARIDISNAM325,LAZARIDIS,,NAM325,Private_Demo,353
2164,LAZARIDISNAM299,LAZARIDIS,,NAM299,Private_Demo,353
2165,LAZARIDISNAM304,LAZARIDIS,,NAM304,Private_Demo,353
2166,LAZARIDISNAM308,LAZARIDIS,,NAM308,Private_Demo,353
2167,LAZARIDISNAM317,LAZARIDIS,,NAM317,Private_Demo,353
2168,LAZARIDISNAM326,LAZARIDIS,,NAM326,Private_Demo,353
2169,LAZARIDISNAM412,LAZARIDIS,,NAM412,Private_Demo,353
2170,LAZARIDISNAM415,LAZARIDIS,,NAM415,Private_Demo,353
2171,LAZARIDISNAM424,LAZARIDIS,,NAM424,Private_Demo,353
2172,LAZARIDISNAM427,LAZARIDIS,,NAM427,Private_Demo,353
2173,LAZARIDISNAM429,LAZARIDIS,,NAM429,Private_Demo,353
2174,LAZARIDISNAM442,LAZARIDIS,,NAM442,Private_Demo,353
2175,LAZARIDISNAM444,LAZARIDIS,,NAM444,Private_Demo,353
2176,LAZARIDISNAM445,LAZARIDIS,,NAM445,Private_Demo,353
2177,LAZARIDISNAM448,LAZARIDIS,,NAM448,Private_Demo,353
2178,LAZARIDISBOT2.044,LAZARIDIS,,BOT2.044,Private_Demo,323
2179,LAZARIDISBOT6.106,LAZARIDIS,,BOT6.106,Private_Demo,323
2180,LAZARIDISBOT2.039,LAZARIDIS,,BOT2.039,Private_Demo,323
2247,LAZARIDISHadza001,LAZARIDIS,,Hadza001,Private_Demo,366
2248,LAZARIDISHadza002,LAZARIDIS,,Hadza002,Private_Demo,366
2249,LAZARIDISHadza003,LAZARIDIS,,Hadza003,Private_Demo,366
