,demeid,iid
0,35,['WW_UAM87092.CEL']
1,42,['WW_UAM87093.CEL']
2,71,['WW_UAM87939.CEL']
3,90,['WW_UAM87094.CEL']
4,102,['WW_UAM63745.CEL']
5,128,['WW_UAM87965.CEL']
6,129,"['9557_CLU_AK', '9558_CLU_AK', '9560_CLU_AK', '9561_CLU_AK']"
7,157,['WW_AK9203.CEL']
8,158,['TT_TU9204.CEL']
9,177,['WW_KNP04.CEL']
10,180,['WW_MP9301.CEL']
11,185,['HA_SH023.CEL']
12,187,['HA_SHN978-17.CEL']
13,189,['HA_SH035.CEL']
14,197,['HA_GF44.CEL']
15,207,['TT_IN9312.CEL']
16,223,['HA_GF208.CEL']
17,240,['HA_HW60.CEL']
18,250,['HA_GF210.CEL']
19,253,['WW_KNP19.CEL']
20,256,['WW_PMY03.CEL']
21,267,['HA_HW65.CEL']
22,278,['WW_27607.CEL']
23,285,['3132_CLU_CANADA-FG']
24,304,['WW_PMY04.CEL']
25,309,['WW_NW32.CEL']
26,310,['WW_NW09.CEL']
27,315,['HA_MARCO126.CEL']
28,331,['WW_PMY41155.CEL']
29,332,['WW_PMY02.CEL']
30,336,['2363_CLU_CANADA-TaW']
31,339,"['2131_CLU_CANADA-TuG', '2144_CLU_CANADA-TuW']"
32,350,"['HA_AB126.CEL', 'HA_II163.CEL']"
33,370,['HA_CB215.CEL']
34,383,"['CI_UAM24979.CEL', 'CI_UAM43378.CEL', 'CI_UAM47418.CEL']"
35,387,['WW_PMY09.CEL']
36,390,['2049_CLU_CANADA-FW']
37,402,['TT_TA153.CEL']
38,406,['HA_II10.CEL']
39,426,['2142_CLU_CANADA-TuW']
40,429,['TT_CB177.CEL']
41,434,['TT_PB38.CEL']
42,438,['HA_HB25.CEL']
43,440,['HA_CR26.CEL']
44,445,['CI_UAM24893.CEL']
45,452,['2048_CLU_CANADA-FW']
46,453,['6484_CLU_CANADA-FB']
47,454,['2052_CLU_CANADA-FW']
48,485,['6505.CEL']
49,498,['TT_HB19.CEL']
50,512,['WW_UAM36555.CEL']
51,517,['2043_CLU_CANADA-FG']
52,518,['2042_CLU_CANADA-FBG']
53,521,['TT_MARCO093.CEL']
54,526,"['2156_CLU_CANADA-TuW', '2223_CLU_CANADA-TaW']"
55,562,['TT_CI191.CEL']
56,569,['HA_PG67.CEL']
57,576,['WW_CXG-169.CEL']
58,579,['WW_Y48.CEL']
59,585,['6499.CEL']
60,588,['2297_CLU_CANADA-TaW']
61,597,['TT_CH24.CEL']
62,617,['2056_CLU_CANADA-FG']
63,621,['2352_CLU_CANADA-TaB']
64,626,['TT_RI87.CEL']
65,632,['HA_CD130.CEL']
66,646,['BF_MARCO006.CEL']
67,647,['BF_MARCO017.CEL']
68,668,['HA_KI09.CEL']
69,681,"['6501.CEL', '6509.CEL', '6515.CEL']"
70,690,['TT_AR172.CEL']
71,713,['6508.CEL']
72,719,['TT_PBO-887.CEL']
73,737,['3757_CLU_BC']
74,747,['BF_GOP-360.CEL']
75,780,['BF_PBQ-943.CEL']
76,782,['BF_GWC-799.CEL']
77,784,['BF_WMB03-13.CEL']
78,798,"['11232_CLU_NQUE-I', '11234_CLU_NQUE-I', '9496.CEL', '9499.CEL']"
79,815,['BF_PP7.CEL']
80,822,['BF_PBG-652.CEL']
81,834,['AF_K094870.CEL']
82,853,['BF_PBO-778.CEL']
83,854,['BF_BM8-008.CEL']
84,895,['BF_AXI-897.CEL']
85,909,['AF_BAF-117.CEL']
86,910,['AF_CVK-168.CEL']
87,935,"['9502_CLU_NQUE-U', '9510.CEL', '9511.CEL', '9512.CEL', '9515.CEL']"
88,976,['AF_PXY-414.CEL']
89,980,['AF_BAO-873.CEL']
90,989,['BF_PP4.CEL']
91,1078,['11226.CEL']
92,1124,['11228.CEL']
93,1206,['WW_UAM30678.CEL']
